PROJECTID,DESCRIPTION,METHODOLOGY,INDUSTRY,STDAT,ECC,S/4HANA,BTP,RAP,CAP,DATAREPLICATION,BAS,MOBILEDEVLOPMENT,GENAI,NARROWAI,NOPACK,COMPLEXITY,REGION,UI,BE,CNF,FUNAI,UX,TRANSLATION,TESTING,SPRINT0
P0038,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,1,0,0,1,1,1,45.5000,62,30,17,5,11,47,10
P0039,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,1,0,1,1,1,32.0000,108,20,27,5,14,35,10
P0040,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,1,1,1,1,32.0000,79,20,30,5,12,34,10
P0041,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,1,32.0000,45,35,12,5,8,33,5
P0042,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,1,32.0000,45,35,12,5,8,33,5
P0043,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,1,32.0000,45,35,12,5,8,33,5
P0044,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,1,32.0000,45,35,12,5,8,33,5
P0045,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,1,32.0000,45,50,12,5,8,33,5
P0046,BEELINE,Agile,Cross,45323,1,1,1,1,0,1,0,0,0,0,1,1,1,32.0000,46,58,12,5,8,33,5
P0047,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,1,0,0,0,1,1,1,32.0000,45,50,12,5,8,33,5
P0048,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,1,0,0,1,1,1,45.5000,62,45,17,5,11,47,10
P0049,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,1,0,1,1,1,32.0000,108,35,27,5,14,35,10
P0050,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,1,1,1,1,32.0000,79,35,30,5,12,34,10
P0051,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,1,32.0000,45,50,12,5,8,33,5
P0052,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,1,32.0000,45,50,12,5,8,33,5
P0053,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,1,32.0000,45,50,12,5,8,33,5
P0054,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,1,32.0000,45,50,12,5,8,33,5
P0055,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,1,32.0000,45,50,12,5,8,33,5
P0056,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,1,32.0000,46,73,12,5,8,33,10
P0057,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,1,0,0,0,1,1,1,32.0000,45,65,12,5,8,33,5
P0058,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,1,0,0,1,1,1,45.5000,62,60,17,5,11,47,10
P0059,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,1,0,1,1,1,32.0000,108,50,27,5,14,35,10
P0060,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,1,1,1,1,32.0000,79,50,30,5,12,34,10
P0061,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,1,32.0000,46,73,12,5,8,33,10
P0062,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,1,32.0000,46,73,12,5,8,33,10
P0063,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,1,32.0000,46,73,12,5,8,33,10
P0064,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,1,32.0000,46,73,12,5,8,33,10
P0065,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,1,32.0000,46,73,12,5,8,33,10
P0066,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,1,32.0000,46,73,12,5,8,33,10
P0067,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,1,32.0000,46,88,12,5,8,33,10
P0068,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,1,0,0,1,1,1,45.5000,63,83,17,5,11,47,10
P0069,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,1,0,1,1,1,32.0000,109,73,27,5,14,35,10
P0070,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,1,1,1,1,32.0000,80,73,30,5,12,34,10
P0071,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,1,32.0000,46,88,12,5,8,33,10
P0072,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,1,32.0000,46,88,12,5,8,33,10
P0073,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,1,32.0000,46,88,12,5,8,33,10
P0074,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,1,32.0000,46,88,12,5,8,33,10
P0075,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,1,32.0000,46,88,12,5,8,33,10
P0076,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,1,32.0000,46,88,12,5,8,33,10
P0077,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,1,32.0000,46,88,12,5,8,33,10
P0078,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0079,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,1,0,1,1,1,32.0000,109,88,27,5,14,35,10
P0080,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,1,1,1,1,32.0000,80,88,30,5,12,34,10
P0081,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0082,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0083,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0084,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0085,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0086,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0087,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0088,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,1,45.5000,63,98,17,5,11,47,10
P0089,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0090,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,1,1,1,1,45.5000,104,98,35,5,16,48,10
P0091,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0092,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0093,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0094,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0095,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0096,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0097,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0098,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0099,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,1,45.5000,137,98,32,5,18,49,10
P0100,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0101,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0102,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0103,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0104,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0105,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0106,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0107,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0108,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0109,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0110,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,1,1,1,1,45.5000,238,98,50,5,28,51,15
P0111,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,0,0,0,0,1,1,10,18.0000,28,0,7,5,10,19,5
P0112,BEELINE,Agile,Cross,45323,0,1,0,0,0,0,0,0,0,0,1,1,10,23.0000,34,0,9,5,10,24,5
P0113,BEELINE,Agile,Cross,45323,0,0,1,0,0,0,0,0,0,0,1,1,10,0.0000,5,20,0,0,5,1,5
P0114,BEELINE,Agile,Cross,45323,0,0,0,1,0,0,0,0,0,0,1,1,10,0.0000,5,15,0,0,5,1,5
P0115,BEELINE,Agile,Cross,45323,0,0,0,0,1,0,0,0,0,0,1,1,10,0.0000,5,15,0,0,5,1,5
P0116,BEELINE,Agile,Cross,45323,0,0,0,0,0,1,0,0,0,0,1,1,10,0.0000,5,23,0,0,5,1,5
P0117,BEELINE,Agile,Cross,45323,0,0,0,0,0,0,1,0,0,0,1,1,10,0.0000,5,15,0,0,5,1,5
P0118,BEELINE,Agile,Cross,45323,0,0,0,0,0,0,0,1,0,0,1,1,10,28.0000,40,10,11,5,10,29,5
P0119,BEELINE,Agile,Cross,45323,0,0,0,0,0,0,0,0,1,0,1,1,10,0.0000,40,0,15,0,10,1,5
P0120,BEELINE,Agile,Cross,45323,0,0,0,0,0,0,0,0,0,1,1,1,10,0.0000,24,0,18,0,5,1,5
P0121,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,0,1,1,10,32.0000,45,0,12,5,10,33,5
P0122,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,0,1,1,10,32.0000,45,0,12,5,10,33,5
P0123,BEELINE,Agile,Cross,45323,1,0,1,0,0,0,0,0,0,0,1,1,10,18.0000,28,20,7,5,10,19,5
P0124,BEELINE,Agile,Cross,45323,1,0,0,1,0,0,0,0,0,0,1,1,10,18.0000,28,15,7,5,10,19,5
P0125,BEELINE,Agile,Cross,45323,1,0,0,0,1,0,0,0,0,0,1,1,10,18.0000,28,15,7,5,10,19,5
P0126,BEELINE,Agile,Cross,45323,1,0,0,0,0,1,0,0,0,0,1,1,10,18.0000,29,23,7,5,10,19,5
P0127,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,1,0,0,0,1,1,10,18.0000,28,15,7,5,10,19,5
P0128,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,0,1,0,0,1,1,10,37.0000,52,10,14,5,15,39,5
P0129,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,0,0,1,0,1,1,10,18.0000,79,0,22,5,15,20,5
P0130,BEELINE,Agile,Cross,45323,1,0,0,0,0,0,0,0,0,1,1,1,10,18.0000,56,0,25,5,15,20,5
P0131,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,0,1,1,10,32.0000,45,0,12,5,10,33,5
P0132,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,0,1,1,10,32.0000,45,0,12,5,10,33,5
P0133,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,0,1,1,10,32.0000,45,20,12,5,10,33,5
P0134,BEELINE,Agile,Cross,45323,1,1,0,1,0,0,0,0,0,0,1,1,10,32.0000,45,15,12,5,10,33,5
P0135,BEELINE,Agile,Cross,45323,1,1,0,0,1,0,0,0,0,0,1,1,10,32.0000,45,15,12,5,10,33,5
P0136,BEELINE,Agile,Cross,45323,1,1,0,0,0,1,0,0,0,0,1,1,10,32.0000,46,23,12,5,10,33,5
P0137,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,1,0,0,0,1,1,10,32.0000,45,15,12,5,10,33,5
P0138,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,1,0,0,1,1,10,45.5000,62,10,17,5,15,47,10
P0139,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,1,0,1,1,10,32.0000,108,0,27,5,20,35,10
P0140,BEELINE,Agile,Cross,45323,1,1,0,0,0,0,0,0,0,1,1,1,10,32.0000,79,0,30,5,15,34,5
P0141,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,0,1,1,10,32.0000,45,20,12,5,10,33,5
P0142,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,0,1,1,10,32.0000,45,20,12,5,10,33,5
P0143,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,0,1,1,10,32.0000,45,20,12,5,10,33,5
P0144,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,10,32.0000,45,35,12,5,10,33,5
P0145,BEELINE,Agile,Cross,45323,1,1,1,0,1,0,0,0,0,0,1,1,10,32.0000,45,35,12,5,10,33,5
P0146,BEELINE,Agile,Cross,45323,1,1,1,0,0,1,0,0,0,0,1,1,10,32.0000,46,43,12,5,10,33,5
P0147,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,1,0,0,0,1,1,10,32.0000,45,35,12,5,10,33,5
P0148,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,1,0,0,1,1,10,45.5000,62,30,17,5,15,47,10
P0149,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,1,0,1,1,10,32.0000,108,20,27,5,20,35,10
P0150,BEELINE,Agile,Cross,45323,1,1,1,0,0,0,0,0,0,1,1,1,10,32.0000,79,20,30,5,15,34,10
P0151,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,10,32.0000,45,35,12,5,10,33,5
P0152,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,10,32.0000,45,35,12,5,10,33,5
P0153,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,10,32.0000,45,35,12,5,10,33,5
P0154,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,0,1,1,10,32.0000,45,35,12,5,10,33,5
P0155,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,10,32.0000,45,50,12,5,10,33,5
P0156,BEELINE,Agile,Cross,45323,1,1,1,1,0,1,0,0,0,0,1,1,10,32.0000,46,58,12,5,10,33,5
P0157,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,1,0,0,0,1,1,10,32.0000,45,50,12,5,10,33,5
P0158,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,1,0,0,1,1,10,45.5000,62,45,17,5,15,47,10
P0159,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,1,0,1,1,10,32.0000,108,35,27,5,20,35,10
P0160,BEELINE,Agile,Cross,45323,1,1,1,1,0,0,0,0,0,1,1,1,10,32.0000,79,35,30,5,15,34,10
P0161,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,10,32.0000,45,50,12,5,10,33,5
P0162,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,10,32.0000,45,50,12,5,10,33,5
P0163,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,10,32.0000,45,50,12,5,10,33,5
P0164,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,10,32.0000,45,50,12,5,10,33,5
P0165,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,0,1,1,10,32.0000,45,50,12,5,10,33,5
P0166,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,10,32.0000,46,73,12,5,10,33,10
P0167,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,1,0,0,0,1,1,10,32.0000,45,65,12,5,10,33,10
P0168,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,1,0,0,1,1,10,45.5000,62,60,17,5,15,47,10
P0169,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,1,0,1,1,10,32.0000,108,50,27,5,20,35,10
P0170,BEELINE,Agile,Cross,45323,1,1,1,1,1,0,0,0,0,1,1,1,10,32.0000,79,50,30,5,15,34,10
P0171,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,10,32.0000,46,73,12,5,10,33,10
P0172,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,10,32.0000,46,73,12,5,10,33,10
P0173,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,10,32.0000,46,73,12,5,10,33,10
P0174,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,10,32.0000,46,73,12,5,10,33,10
P0175,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,10,32.0000,46,73,12,5,10,33,10
P0176,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,0,1,1,10,32.0000,46,73,12,5,10,33,10
P0177,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,10,32.0000,46,88,12,5,10,33,10
P0178,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,1,0,0,1,1,10,45.5000,63,83,17,5,15,47,10
P0179,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,1,0,1,1,10,32.0000,109,73,27,5,20,35,10
P0180,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,0,0,0,1,1,1,10,32.0000,80,73,30,5,15,34,10
P0181,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,10,32.0000,46,88,12,5,10,33,10
P0182,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,10,32.0000,46,88,12,5,10,33,10
P0183,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,10,32.0000,46,88,12,5,10,33,10
P0184,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,10,32.0000,46,88,12,5,10,33,10
P0185,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,10,32.0000,46,88,12,5,10,33,10
P0186,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,10,32.0000,46,88,12,5,10,33,10
P0187,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,0,1,1,10,32.0000,46,88,12,5,10,33,10
P0188,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0189,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,1,0,1,1,10,32.0000,109,88,27,5,20,35,10
P0190,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,0,0,1,1,1,10,32.0000,80,88,30,5,15,34,10
P0191,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0192,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0193,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0194,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0195,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0196,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0197,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0198,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,0,1,1,10,45.5000,63,98,17,5,15,47,10
P0199,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,10,45.5000,137,98,32,5,25,49,10
P0200,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,0,1,1,1,10,45.5000,104,98,35,5,20,48,10
P0201,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,10,45.5000,137,98,32,5,25,49,10
P0202,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,10,45.5000,137,98,32,5,25,49,10
P0203,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,10,45.5000,137,98,32,5,25,49,10
P0204,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,10,45.5000,137,98,32,5,25,49,10
P0205,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,10,45.5000,137,98,32,5,25,49,10
P0206,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,10,45.5000,137,98,32,5,25,49,10
P0207,BEELINE,Agile,Cross,45323,1,1,1,1,1,1,1,1,1,0,1,1,10,45.5000,137,98,32,5,25,49,10
